algorithm,size,time
Standard,600,0.6331911
Line,600,0.5776998
Block_128,600,0.6001286
Block_256,600,0.5984111
Block_512,600,0.5880303
Standard,1000,3.2855007
Line,1000,2.6722066
Block_128,1000,2.7791579
Block_256,1000,2.7445041
Block_512,1000,2.7235874
Standard,1400,11.31616
Line,1400,7.5460197
Block_128,1400,7.6123686
Block_256,1400,7.5672144
Block_512,1400,7.4754391
Standard,1800,32.4405914
Line,1800,16.1795571
Block_128,1800,16.1725538
Block_256,1800,16.037679
Block_512,1800,15.8489966
Standard,2200,63.1056803
Line,2200,29.694811
Block_128,2200,29.5179292
Block_256,2200,29.432269
Block_512,2200,29.0122254
Standard,2600,108.5091749
Line,2600,48.9881298
Block_128,2600,48.7457583
Block_256,2600,48.3746243
Block_512,2600,47.8373166
Standard,3000,173.212477
Line,3000,75.2957345
Block_128,3000,74.9579882
Block_256,3000,74.2897134
Block_512,3000,73.2930945
Block_128,4096,197.6959999
Block_256,4096,190.9682005
Block_512,4096,194.0039882
Block_128,6144,664.0905799
Block_256,6144,641.1794009
Block_512,6144,633.8583838
Block_128,8192,1566.3599248
Block_256,8192,1687.2742338
Block_512,8192,1629.0395837
Block_128,10240,3089.8415045
Block_256,10240,2967.8885534
Block_512,10240,2942.8587253
